Winner,Rounds,
Nobody, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Paper, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Scissors, 2,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Paper, 3,
Nobody, 3,
Nobody, 3,
Paper, 3,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Paper, 3,
Rock, 3,
Scissors, 3,
Rock, 3,
Nobody, 3,
Rock, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Rock, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Rock, 3,
Paper, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Rock, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Rock, 3,
Paper, 3,
Rock, 3,
Scissors, 3,
Scissors, 3,
Paper, 3,
Nobody, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Rock, 3,
Scissors, 3,
Rock, 3,
Paper, 3,
Nobody, 3,
Rock, 3,
Paper, 3,
Rock, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Rock, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Paper, 3,
Paper, 3,
Paper, 3,
Paper, 3,
Nobody, 3,
Scissors, 3,
Paper, 3,
Paper, 3,
Scissors, 3,
Rock, 3,
Scissors, 3,
Nobody, 3,
Rock, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Paper, 3,
Paper, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Paper, 3,
Nobody, 3,
Paper, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Rock, 3,
Nobody, 3,
Nobody, 3,
Rock, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Rock, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Paper, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Rock, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Paper, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Paper, 3,
Nobody, 3,
Nobody, 3,
Paper, 3,
Rock, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Rock, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Rock, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Nobody, 3,
Scissors, 3,
Paper, 3,
Scissors, 3,
Paper, 3,
Nobody, 3,
Rock, 3,
Nobody, 3,
Nobody, 3,
Rock, 3,
Scissors, 2,
Nobody, 3,
Paper, 3,
Nobody, 3,
Paper, 3,
Paper, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Paper, 3,
Paper, 3,
Nobody, 3,
Scissors, 3,
Scissors, 3,
Scissors, 3,
Nobody, 3,
Nobody, 3,
Nobody, 3,
Scissors, 3,
Rock, 3,
Nobody, 3,
Paper, 3,
Nobody, 3,
Nobody, 3,
Paper, 3,
Paper, 3,
Nobody, 3,
Nobody, 3,
Nobody, 3,
Nobody, 3,
Rock, 3,
Paper, 3,
Scissors, 3,
Nobody, 3,
Rock, 3,
